datetime,open,high,low,close,volume
2023-08-27,100.61626995880503,102.4501713206077,100.54023789817761,101.7316806374984,1021643
2023-08-28,99.16048940229544,99.73426939604893,97.93258394983147,99.58111889870865,903024
2023-08-29,99.88520749215532,101.045696238558,98.61145915490428,100.9813585208348,1121922
2023-08-30,99.61194351730566,101.60450774054038,99.29624262581854,100.52588217268801,1062052
2023-08-31,102.84428612258014,105.55073163834253,101.86499512393702,103.87794635872577,1123119
2023-09-01,103.17842856614234,105.82829574602839,101.37644622833092,103.98746749074107,1179805
2023-09-02,103.84913139297662,105.04524422715163,103.70520601729488,104.1123024235267,1088749
2023-09-03,106.5447235718696,108.57477865748331,104.7364635421995,107.28768628594335,820772
2023-09-04,100.59412144525619,101.78981613649842,100.561567806661,101.68817219512725,1192419
2023-09-05,105.0823427859177,106.84822877784329,103.84395823966798,106.4065587435806,1105568
2023-09-06,106.63774247298214,108.41916739164984,106.10991465181725,106.80092085734017,886795
2023-09-07,105.60034135377387,105.87686903038943,104.63829288012195,105.74758435910572,849442
2023-09-08,108.74085948424855,111.63786072299969,107.33827664251925,109.93673867207647,927270
2023-09-09,104.12763200607107,106.11486269098167,103.99327430016253,105.72024811483445,863110
2023-09-10,107.3462971246399,108.84020713592567,106.32138457385496,108.4484423211465,1056400
2023-09-11,107.98361154932829,110.33181401998748,106.95380562031326,109.92721726679115,807284
2023-09-12,108.61092326971968,109.2632337322219,107.44001238694247,109.24749398636601,1120511
2023-09-13,108.00964682570768,111.30040688578767,107.54608241116604,109.78801332111186,1062383
2023-09-14,109.85049206570623,111.56017265801029,108.85543851222032,111.05498017876613,1156264
2023-09-15,108.87200031486634,111.28703478908746,108.19956841442637,110.49912625912847,850843
2023-09-16,112.47002895635462,114.74769888565794,111.69188670198625,112.85354767313144,883855
2023-09-17,111.91648995330354,113.65332825261235,110.97355211270593,113.50083214736947,996416
2023-09-18,113.77996857130086,114.5243652887293,112.60754896821602,114.2955161975646,954393
2023-09-19,114.80879660459279,117.51476828462881,114.66949165519007,115.56998865344589,1089152
2023-09-20,110.89890058443446,113.81560844135555,110.65618555004554,112.21248863056283,1129583
2023-09-21,114.87943952626522,117.12129699382734,114.15564198384953,115.88897087386721,1191899
2023-09-22,117.07197983593353,118.33387979416034,115.93121929126733,117.46416927805977,1034862
2023-09-23,114.28313206071364,115.7561980032612,113.48476696935568,115.1417706440133,1104188
2023-09-24,113.28398519884763,117.01977146371027,111.65341582430507,115.0835028529245,807412
2023-09-25,110.46025019596122,112.93234661545512,109.22460279247142,112.44394276365402,811846
2023-09-26,116.05472114662128,119.99321306391556,114.45050080183117,118.0342089999581,1188545
2023-09-27,114.03135298931134,117.28669858044293,113.17468383984375,115.32862208207429,903056
2023-09-28,116.43359547967589,117.9393421607081,114.53025074794334,116.50186254524128,904698
2023-09-29,116.06780047293103,119.68495645633374,115.84990182367991,117.88009396285872,1142943
2023-09-30,121.22788829542941,124.22987985010442,119.736977016956,123.1507494991747,1102223
2023-10-01,119.93933411759674,120.76385130532225,118.12830491136754,119.95740476741857,1002802
2023-10-02,121.389358661203,123.89280537691573,120.46336860357022,123.07533171765195,991401
2023-10-03,119.48943765026195,122.20693670308333,117.8219404053641,120.21554971867963,1176007
2023-10-04,125.0756635994851,127.93312856701215,123.54911745428532,126.25367856737701,1048568
2023-10-05,125.51640543397399,127.50526469410964,124.02920266834498,126.526510732128,977722
2023-10-06,119.80191101875805,122.90579944953578,117.98636792233522,121.77726100199143,845722
2023-10-07,120.79072701469669,124.4314147025327,118.88666846841079,122.4617767546002,1165389
2023-10-08,123.99008580659569,125.96338687375632,123.51852252518498,125.82680046979624,1045161
2023-10-09,122.0763181668284,124.52932419665537,121.00678620120848,123.19581158719684,823790
2023-10-10,126.54820817413332,129.50626405370497,126.46282523652545,127.7110428687609,1105198
2023-10-11,122.82069579682833,123.65848146629205,121.97866854983157,122.82476021043814,1159558
2023-10-12,122.87341664640078,124.7332736598249,122.40858317696434,124.69896013911566,957850
2023-10-13,126.381871793949,126.5979293332944,124.92149932426182,126.49718601836554,923832
2023-10-14,125.5051380719317,126.46503442034943,123.8292171794555,125.77904283573368,1100087
2023-10-15,123.03670274460295,124.54613179717734,122.41481313942272,124.29928689917172,1097718
2023-10-16,124.49827820786518,127.21792253653133,123.91790177355095,125.94552338915246,940227
2023-10-17,125.6950001670819,128.8203007937124,124.37173278973813,127.01657746645816,1058891
2023-10-18,124.52189978582312,127.75299343379001,122.83321771060307,126.17922405624397,1028456
2023-10-19,126.9419240042076,128.8622599755904,125.64575609048009,127.03679484284802,1044520
2023-10-20,127.03510555019132,128.64343999034654,125.18016747298816,128.4016888980761,1174158
2023-10-21,129.1406413458687,130.77113890739133,128.1708182518633,130.17442270647084,1047985
2023-10-22,124.05386490421206,127.83004726751014,122.08123302378522,125.85760515036057,1042240
2023-10-23,126.26519930651541,126.8107270282759,125.55454262958769,126.55586947233893,1009739
2023-10-24,131.70001522700483,132.8762522761478,130.24820353672473,131.9800429314088,1188855
2023-10-25,123.58017528654779,126.86237398425138,122.9330719296024,125.16284195199599,984842
2023-10-26,131.19898195859116,133.26682601564377,130.1786574926153,132.22168136340397,1093535
2023-10-27,128.63575971767713,129.8582639095772,127.90180422332409,129.64475405978942,949829
2023-10-28,129.94311935114285,130.9709044830371,128.87722616379764,130.01487462676113,968699
2023-10-29,129.9711567700861,132.22227811860003,129.9312555211024,131.30950155127064,895099
2023-10-30,130.1018950569622,132.36550846328282,128.96052714224658,130.42021255221383,973769
2023-10-31,127.92835677308032,131.23443395074452,126.40007664001533,129.70303286860621,812848
2023-11-01,135.49797589646377,137.22645682593168,134.8241393266334,136.21244552071397,1101175
2023-11-02,133.82603673625547,135.18689049141685,133.5338401319643,134.83024879127237,929106
2023-11-03,131.76028623696945,133.15742382865741,130.37787314198016,132.01609787543316,952722
2023-11-04,132.99153074323377,135.16642348770955,132.78445721945948,133.30028078218285,929976
